index;name;url
0;;
60;Cupcake Vineyards;https://www.cupcakevineyards.com/
63;Coors Brewing Company;https://www.coors.com/
66;E.&J. Gallo Winery;https://www.gallo.com/
67;Bogle Vineyards;https://boglewinery.com/#
71;Jim Beam;https://www.jimbeam.com/en/
94;W.J. Deutsch & Sons, Ltd.;https://www.deutschfamily.com/
95;Brown Forman Beverage;https://www.brown-forman.com/
103;Davinci Labs;https://www.davincilabs.com/
116;The Seagram Beverage Company;https://www.seagramsescapes.com/
126;Anheuser-Busch, Inc.;https://www.anheuser-busch.com/
132;Brewed by Blue Moon Brewing Company;https://www.bluemoonbrewingcompany.com/
145;MillerCoors;https://www.molsoncoors.com/
149;Diageo;https://www.diageo.com/
172;Heineken;https://www.heinekenbrasil.com.br/
210;Miller Brewing Co.;https://www.millerbrewerytour.com/
223;Anheuser-Busch;https://www.anheuser-busch.com/
226;Heineken Brewery;https://www.heinekenbrasil.com.br/
254;Wild Blue;
267;Banfi;https://www.banfi.it/en/
296;Moet  and Chandon;https://www.moet.com/en-gb
297;Skinny Cocktail;
304;Zatarains;
349;Powell & Mahone;https://www.powellandmahoney.com/
384;Fee Brothers;https://www.feebrothers.com/
385;Zing Zang;https://zingzang.com/
448;BELLA BOLLE;https://bellabolle.wpengine.com/
491;Dr Pepper Snapple Group, Inc.;https://www.keurigdrpepper.com/
561;Coco Real;
562;Peychauds;
623;La Marca Prosecco;https://www.lamarcaprosecco.com/
658;GOYA FOODS, INC.;https://www.goya.com/en/
707;Dr Pepper/Seven Up, Inc;https://www.7up.com/en
743;Placeholder;
789;American Beverage Marketers;https://abmcocktails.com/
797;KegWorks;https://www.kegworks.com/
798;Master of Mixes;https://www.masterofmixes.com/ 
804;Wal-Mart Stores, Inc.;https://www.walmart.com/ 
883;Dirty Sue;
949;Brands of Britain, LLC;https://www.brandsofbritain.com/
962;Flower Foods;https://www.flowersfoods.com/ 
975;Generic;
1011;Jose Cuervo;https://cuervo.com/ 
1079;Powell & Mahoney;https://www.powellandmahoney.com/ 
1127;Angostura;http://www.angostura.com/ 
1256;Margaritaville;https://www.margaritaville.com/ 
1258;GMAX; https://gmaxketo.com/ 
1335;Duplin Wine Cellars; https://www.duplinwinery.com/ 
1358;American Beverage Corp.;https://www.csbeverage.com/portfolio_page/american-beverage-corporation/
1392;Motts LLP;
1503;Regatta;https://regattacraftmixers.com/
1506;MANISCHEWITZ;https://manischewitz.com/ 
1507;Kalamera;https://www.kalamera.com/
1518;Fiber Choice;https://www.fiberchoice.com/
1557;POWELL & MAHONEY LTD;https://www.powellandmahoney.com/
1562;Heinz Frozen;https://www.kraftheinz-foodservice.com/ 
1565;COCO REAL;https://enjoyrealcoco.com/
1575;Regans;
1592;Lipton Brisk;https://www.drinkbrisk.com/
1599;Home Brew Ohio;https://www.homebrewohio.com/ 
1603;Mr. & Mrs. T;https://www.mrandmrst.com/
1606;Fermentis;https://fermentis.com/en/
1620;Alstertor;https://www.euroamericanbrands.com/alstertor 
2673;PATES & QUICHES, INC.;null
2674;Goya;https://www.goya.com/en/ 
2682;Roland Foods; https://rolandfoods.com/ 
2683;Vita Food Products;https://vitafoodproducts.com/ 
2684;Red Star;https://www.redstarfoodservice.co.uk/ 
2703;Silver Springs;https://www.silverspringfoods.com/shop/ 
2709;Home Brew Stuff;https://home-brew-stuff.myshopify.com/ 
2742;PICKETT BROTHERS BEVERAGE LLC;https://www.pickettbrothersbeverage.com/ 
2785;Briess;https://www.briess.com/ 
2797;Trademark Innovations;https://www.trademarkinnovations.com/ 
2811;Kraft Foods Beverages;https://www.kraftheinz-foodservice.com/ 
2814;Melitta; www.melitta.com 
2816;American Euro Foods, LLC;
